studentid,firstName,middleInitial,lastName,yearOfStudy,plp,password,courseID
17001010,Luke,F,Smith,2020/2021,0,password,1
17001011,John,S,Jones,2020/2021,0,password,1
17004940,Jake,I,Taylor,2020/2021,0,password,2
17001012,Mia,R,Williams,2020/2021,0,password,2
17001013,Ian,U,Reynolds,2020/2021,0,password,2
17001014,Ryan,F,Adams,2020/2021,0,password,2
17001015,Peter,E,Black,2020/2021,0,password,2
17001017,Joanne,T,Michaels,2020/2021,0,password,2
17001016,Suzie,J,Higgs,2020/2021,0,password,2
17001018,Mohammed,R,Hassan,2020/2021,0,password,3
17001019,Astrid,Y,Tindel,2020/2021,0,password,3
17001020,Justine,O,Walford,2020/2021,1,password,3
17001021,Olympia,W,Mohler,2020/2021,1,password,3
17001022,Elouise,R,Westover,2020/2021,0,password,3
17001023,Antonie,R,Lehmkuhl,2020/2021,0,password,3
17001024,Harvey,R,Bradstreet,2020/2021,0,password,3
17001025,Serina,F,Schwabe,2020/2021,1,password,3
17001027,Kristie,W,Childress,2020/2021,0,password,3
17001028,Jonnie,A,Rabble,2020/2021,0,password,3
17001026,Conrell,T,Nolasco,2020/2021,0,password,3
17001029,Aimee,F,Hankerson,2020/2021,0,password,3
17001030,Debbie,G,Richer,2020/2021,0,password,3
17001031,John,F,Eric,2020/2021,0,password,3
17001032,Doyle,B,Beller,2020/2021,1,password,1
17001033,Grant,D,Hollow,2020/2021,1,password,1
17001034,Terri,L,Counsell,2020/2021,1,password,1
17001035,Susy,Y,Bryan,2020/2021,0,password,1
17001036,Tomasa,J,Atwell,2020/2021,0,password,1
17001038,Francene,K,Faz,2020/2021,0,password,1
17001037,Earl,P,Brew,2020/2021,0,password,1
17001039,Verinia,I,Dopp,2020/2021,1,password,1
17001040,Calista,R,Bice,2020/2021,0,password,1
17001041,Greggory,T,Rice,2020/2021,0,password,1
17001042,Octavia,F,Neccer,2020/2021,0,password,1
17001044,Jonny,Z,Roma,2020/2021,0,password,1
17001043,Felton,Y,Worrel,2020/2021,0,password,4
17001045,Jerold,G,Mackenzie,2020/2021,0,password,4
17001046,Sung,E,Malec,2020/2021,0,password,4
17001047,Verdie,R,Gelhart,2020/2021,0,password,5
17001048,Tosha,T,Coriel,2020/2021,0,password,8
17001049,Wyatt,E,Tigue,2020/2021,0,password,8
17001050,Avery,F,Aguilar,2020/2021,1,password,8
17001051,Lisandra,V,Orear,2020/2021,1,password,7
17001052,Arline,F,Crowl,2020/2021,0,password,7
17001054,Kenna,L,Ohman,2020/2021,0,password,7
17001053,Tomas,J,Capshaw,2020/2021,0,password,7
17001056,Elane,Y,Abbot,2020/2021,0,password,7
17001055,Emily,R,Rufas,2020/2021,0,password,6
17001057,Luke,J,Kong,2020/2021,0,password,6
17001058,Delia,R,Angone,2020/2021,0,password,6
17001059,Jackie,R,Tong,2020/2021,0,password,6
17001060,Angle,C,Garrison,2020/2021,0,password,6
